libelle;code;colzone
AIME CESAIRE;0755433Y;#bebada
ALAIN FOURNIER;0750607C;#bc80bd
ALBERTO GIACOMETTI;0750445B;#bc80bd
ALPHONSE DAUDET;0751705W;#fccde5
AMEDEO MODIGLIANI;0752318M;#fdb462
ANDRE CITROEN;0754305X;#fb8072
ANDRE MALRAUX;0752387M;#b3de69
ANNE FRANK;0750608D;#bc80bd
ANTOINE COYSEVOX;0752319N;#fb8072
AUGUSTE RODIN;0752538B;#ccebc5
BEAUMARCHAIS;0750362L;#fccde5
BERNARD PALISSY;0752829T;#80b1d3
BORIS VIAN;0752958H;#b3de69
BUFFON;0752545J;#ccebc5
CAMILLE CLAUDEL;0752694W;#ffffb3
CAMILLE SEE;0752546K;#b3de69
CARNOT;0752552S;#bebada
CESAR FRANCK;0752248L;#fdb462
CHAPTAL;0752529S;#ccebc5
CHARLEMAGNE;0752525M;#b3de69
CHARLES PEGUY;0751706X;#bebada
CLAUDE BERNARD;0752547L;#fdb462
CLAUDE CHAPPE;0750360J;#fb8072
CLAUDE DEBUSSY;0752317L;#bebada
CLAUDE MONET;0752539C;#fdb462
COLETTE BESSON;0755241P;#bebada
CONDORCET;0751791P;#bc80bd
DANIEL MAYER;0755030K;#fb8072
EDGAR VARESE;0755095F;#fdb462
EDMOND MICHELET;0753345D;#fccde5
EDOUARD PAILLERON;0751707Y;#fb8072
ELSA TRIOLET;0752385K;#80b1d3
EUGENE DELACROIX;0752194C;#ccebc5
EVARISTE GALOIS;0753937X;#80b1d3
FLORA TRISTAN;0753046D;#b3de69
FRANCOIS COUPERIN;0752693V;#ccebc5
FRANCOIS VILLON;0752544H;#80b1d3
FRANCOISE DOLTO;0750552T;#80b1d3
FRANCOISE SELIGMANN;0755778Y;#80b1d3
GABRIEL FAURE;0752540D;#bc80bd
GEORGE SAND;0752316K;#fccde5
GEORGES BRAQUE;0752957G;#80b1d3
GEORGES BRASSENS;0750507U;#bebada
GEORGES CLEMENCEAU;0750546L;#8dd3c7
GEORGES COURTELINE;0750444A;#8dd3c7
GEORGES DUHAMEL;0752192A;#ffffb3
GEORGES MELIES;0752606A;#ffffb3
GEORGES ROUAULT;0753938Y;#bebada
GERARD PHILIPE;0752195D;#ffffb3
GERMAINE TILLION;0753936W;#b3de69
GUILLAUME APOLLINAIRE;0752190Y;#ffffb3
GUILLAUME BUDE;0752695X;#d9d9d9
GUSTAVE FLAUBERT;0753518S;#80b1d3
GUY FLAVIEN;0752189X;#d9d9d9
HECTOR BERLIOZ;0752252R;#b3de69
HELENE BOUCHER;0752556W;#d9d9d9
HENRI BERGSON;0752555V;#fccde5
HENRI IV;0752526N;#ffffb3
HENRI MATISSE;0750591K;#ccebc5
HONORE DE BALZAC;0752553T;#ffffb3
JACQUES DECOUR;0752532V;#fdb462
JACQUES PREVERT;0752187V;#b3de69
JANSON DE SAILLY;0752548M;#ccebc5
JEAN DE LA FONTAINE;0752550P;#80b1d3
JEAN FRANCOIS OEBEN;0752542F;#80b1d3
JEAN MOULIN;0750611G;#bc80bd
JEAN PERRIN;0753939Z;#bebada
JEAN-BAPTISTE CLEMENT;0750478M;#bebada
JEAN-BAPTISTE POQUELIN;0751703U;#8dd3c7
JEAN-BAPTISTE SAY;0752549N;#ffffb3
JULES FERRY;0752533W;#ccebc5
JULES ROMAINS;0752249M;#fb8072
JULES VERNE;0750610F;#ffed6f
LA GRANGE AUX BELLES;0753047E;#fccde5
LA ROSE BLANCHE;0755779Z;#ccebc5
LAMARTINE;0752534X;#ffed6f
LAVOISIER;0752531U;#fb8072
LEON GAMBETTA;0752696Y;#bebada
LOUISE MICHEL;0752251P;#bebada
LUCIE ET RAYMOND AUBRAC;0750465Y;#ffed6f
LUCIE FAURE;0750550R;#80b1d3
MADAME DE STAEL;0751563S;#fb8072
MARIE CURIE;0754706H;#fb8072
MARX DORMOY;0752196E;#ccebc5
MAURICE RAVEL;0752557X;#fb8072
MAURICE UTRILLO;0751793S;#fb8072
MOLIERE;0752551R;#80b1d3
MONTAIGNE;0752527P;#ffffb3
MONTGOLFIER;0752523K;#8dd3c7
MOULIN DES PRES;0750525N;#fdb462
MOZART;0750484U;#ccebc5
OCTAVE GREARD;0752530T;#ffed6f
PAUL BERT;0752543G;#fb8072
PAUL GAUGUIN;0752250N;#fdb462
PAUL VALERY;0752537A;#bc80bd
PAUL VERLAINE;0750609E;#bebada
PIERRE ALVISET;0751790N;#fdb462
PIERRE DE RONSARD;0752107H;#ffffb3
PIERRE JEAN DE BERANGER;0750387N;#ffed6f
PIERRE MENDES FRANCE;0752198G;#d9d9d9
PILATRE DE ROZIER;0754528P;#ffffb3
RAYMOND QUENEAU;0752186U;#fdb462
ROBERT DOISNEAU;0754355B;#ffffb3
ROGNONI;0750407K;#fdb462
ROLAND DORGELES;0750429J;#80b1d3
SONIA DELAUNAY;0750575T;#ffed6f
ST EXUPERY;0754253R;#ffed6f
STEPHANE MALLARME;0752554U;#b3de69
SUZANNE LACORE;0755747P;#fccde5
THOMAS MANN;0755000C;#fb8072
VALMY;0750584C;#ffffb3
VICTOR DURUY;0752528R;#bc80bd
VICTOR HUGO;0752524L;#fdb462
VOLTAIRE;0752536Z;#bebada
YVONNE LE TAC;0752108J;#d9d9d9
